transaction_id,amount,payment_method,device,os,transaction_hour,customer_age_days,is_fraud
d752557e-bb60-4884-a55d-7fd0c9b1f382,60.1,Debit Card,Mobile,iOS,18,1239,0
3a80ae3a-36ea-4016-805a-89e7cb8621d4,28.05,Credit Card,Desktop,macOS,23,131,0
3115a759-fccf-4268-a7a2-d2750816f5e9,18.85,Credit Card,Mobile,iOS,21,2301,0
bded8767-a1df-451c-91b6-97e78b1ec368,63.5,Credit Card,Mobile,Android,9,2048,0
3f1abacb-34ec-4380-a50c-54824e595c21,11.14,Credit Card,Desktop,Windows,22,1268,0
999c081b-585e-48ba-9921-a5833c45ac15,6.08,Debit Card,Mobile,Android,20,2889,0
57f9a6e4-5098-4484-8117-34137e380264,16.11,Debit Card,Mobile,iOS,7,35,0
4abb93e9-4424-4cc8-b954-aa6f6fc3d3b2,23.34,PayPal,Mobile,Android,1,1022,1
55f21b1f-0e33-441b-9485-db50e5047ba8,928.88,Credit Card,Tablet,Android,1,202,0
d171fbfa-bc32-4048-a14c-47b812f405a6,138.71,PayPal,Mobile,Android,7,3534,0
d081ccd1-916b-4867-aedd-19a14607df08,9.87,Credit Card,Desktop,Windows,12,3113,0
b26735b5-4dc6-4747-91bb-b8efd46dad67,4.95,Credit Card,Mobile,iOS,8,1368,0
15ff9709-82fc-45a7-9608-4a0f6e71a138,5.07,Credit Card,Mobile,Android,2,2337,1
66af90ea-d123-441f-81d0-2f3aaf7772d4,12.75,Debit Card,Desktop,macOS,6,201,0
1c0e1d42-7fe0-4176-ad55-f6d215cbeeaf,5.42,Credit Card,Mobile,iOS,2,2732,0
4de4172e-5117-45d4-8a66-aad1eb4d9b19,123.91,Debit Card,Desktop,Windows,4,1486,0
d8161d82-37be-458f-8759-54cef4f9327b,58.05,Credit Card,Mobile,iOS,14,1039,0
8a4b47ec-a6b0-4ec4-a505-6f83fb37f001,80.11,Credit Card,Mobile,iOS,6,3313,0
748a23b5-3bd9-4de5-8c7b-616479bb711a,36.97,PayPal,Mobile,Android,10,541,0
34ad8d92-f7a5-4c78-857f-b854e20525a2,3.05,Credit Card,Mobile,iOS,21,1820,1
dcfbb386-de3b-483b-8493-2a58c7fac33d,99.33,PayPal,Mobile,Android,10,1664,0
ea3f691c-9f19-48fc-953a-39218e15f32a,49.13,PayPal,Desktop,Windows,0,1409,0
